mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__eta0,param_regressor__l1_ratio,param_regressor__learning_rate,param_regressor__loss,param_regressor__max_iter,param_regressor__penalty,param_regressor__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2366776943206787,0.0094868814966545,0.0030667781829833984,0.0003735766405322488,0.0001,0.01,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391005.597633756,-4902016.363116211,-10035752.883425673,-8135259.127853671,-6804501.471535273,-6653707.088712918,2339641.4497156967,37
0.20055069923400878,0.003926177143442663,0.0033634662628173827,0.0018212413428037243,1e-05,0.01,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391005.9528112453,-4902016.933151005,-10035752.891457662,-8135260.0850277785,-6804501.895651145,-6653707.551619766,2339641.3943105866,39
0.21979022026062012,0.002823249234027926,0.0023682117462158203,0.00039272995577334667,1e-05,0.01,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3391005.9528112453,-4902016.933151005,-10035752.891457662,-8135260.0850277785,-6804501.895651145,-6653707.551619766,2339641.3943105866,39
0.20766816139221192,0.003457979268666124,0.0031366348266601562,0.0017006256227805729,1e-05,0.01,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3391002.7358842464,-4903730.265035431,-10035759.209752535,-8135233.021769968,-6804499.94452615,-6654045.0353936665,2339384.198093557,41
0.16284828186035155,0.004310231865984035,0.002280712127685547,0.00021112537995531333,1e-05,0.01,0.5,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3390999.519958933,-4903694.369230885,-10036260.091649674,-8134663.711688398,-6805022.788573581,-6654128.096220294,2339469.943775836,42
0.17770962715148925,0.0026563026186222187,0.0026167869567871095,0.00026756932695690545,1e-05,0.01,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3390999.519958933,-4903694.369230885,-10036260.091649674,-8134663.711688398,-6805022.788573581,-6654128.096220294,2339469.943775836,42
0.2365283966064453,0.013362512634712453,0.0027939796447753905,0.0006147997673483044,1e-05,0.01,0.15,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3391000.484615865,-4903705.137644024,-10036258.223285073,-8134671.800282696,-6805023.397237732,-6654131.808613079,2339468.5546663967,44
0.3373114109039307,0.056623509469831884,0.00639033317565918,0.003357609615070966,0.0001,0.01,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3391250.720744823,-4905002.372739723,-10037288.682207894,-8133898.848003242,-6806043.051764799,-6654696.735092096,2339418.0100747542,45
0.2431931495666504,0.0434608898827149,0.0027744293212890623,0.00045244616301721985,0.0001,0.01,0.15,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3391227.668826383,-4906449.402736613,-10037815.44477982,-8132979.954290498,-6808054.227446781,-6655305.339616019,2339270.366162406,46
0.18428096771240235,0.019598930157092614,0.0027727603912353514,0.00035865164766446707,0.0001,0.01,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3391220.2072435864,-4906745.345684625,-10038314.459646102,-8131877.004953976,-6808648.86385597,-6655361.176276852,2339241.014246946,47
0.19213385581970216,0.023712551773374765,0.002809286117553711,0.0008068123184951087,0.0001,0.01,0.5,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3391220.2072435864,-4906745.345684625,-10038314.459646102,-8131877.004953976,-6808648.86385597,-6655361.176276852,2339241.014246946,47
0.005539846420288086,0.001280447833251252,0.002108907699584961,0.0006893601763455431,0.01,0.1,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.01, 'regressor__eta0': 0.1, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3398517.2294272413,-4846582.350141841,-10156273.428175444,-8242634.34435182,-6816476.392150185,-6692096.748849307,2394733.6654799213,49
